Community,Members
255,bst usage rate; genetic potential of the cows; pretreatment phenotypic milk yield
256,biological matrices; biological systems; metabolomics
257,aspartate; biogenic amines; instability
258,chemotactic response of polymorphonuclear leukocytes; e. coli inoculation; experimental mastitis
259,ay supplementation; butyrate-producing bacteria; caecal microbial diversity
260,cd11c; cd14; m1 markers
261,cd11b; cd163; m2 markers
262,"days from first calving until the end of lactation or culling; l1, l2, l3, l4, l5; longevity traits"
263,dh breed; dj breed; dr breed
264,bacteriologically negative quarters; cephapirin dry cow product; s. aureus-infected quarters
265,non-functional quarters; spontaneous cure; untreated infected quarters
266,cephapirin lactating cow product; cure of infected quarters; failure to resolve infection
267,forward margins; sequence of forward margins; term structure of forward iofc margins
268,cephapirin; desacetylcephapirin; intramammary infusion
269,growth acceleration; protein and energy intakes; rearing costs
270,"metabolite concentrations in plasma, liver, and muscle; phosphorylation activity of protein kinase b (akt) and ribosomal protein s6 (rps6) cell signals; protein and energy intake of mr"
271,ad libitum; starter; water
272,mrna encoding phosphoenolpyruvate carboxykinase; mrna encoding pyruvate carboxylase; trans treatment group
273,model development; root mean square prediction errors; rt estimate
274,ca excretion; kcl diet; mg excretion
275,marketing code; national association of animal breeders; sire data
276,dry cow mastitis formulations; removal from the herd; risk for clinical mastitis
277,maternal met; muscle gs expression; muscle ldh expression
278,creaming rate; duration of storage; pasteurized reformulated creams
279,brining; calcium loss; water bound to protein
280,calcium content; mpc80 powders; water content
281,ileal lactobacillus spp.; probiotic product; villus height (duodenum and jejunum)
282,bacteriophage treatment; crypt depth in duodenum; villus height of the duodenum
283,cp effective degradation at a rumen passage rate of 6% per hour (cped6); intestinal digestibility; rumen undegradable protein
284,in vitro intestinal digestibility; ruminal cp and aa degradation; soybean meal (sbm) variants
285,average rate (c) of degradation; degradation of fraction b; lag phase
286,insp6 concentrations; myo-inositol pentakisphosphate concentrations; ruminal incubation time
287,analytic studies; descriptive studies; transport of calves
288,data extraction; databases; relevant articles
289,meta-analysis; outcome parameters; transport-related risk factors
290,consistent reporting; core outcome set; research
291,hepatic lipidosis; higher lipolytic rates; triacylglycerols in liver
292,blood collection; insulin and nonesterified fatty acid levels; phase 2
293,barn type; bulk milk somatic cell count (bmscc); pathogen-specific ircm
294,e. coli ircm; free-stalls; klebsiella spp. ircm
295,basal diet composition; dose of el; responses
296,bayesian latent class models; posterior estimates; test accuracy estimation
297,b. subtilis wb600; bacillus stearothermophilus; bgab gene
298,beta-galactosidase activity; optimum ph; optimum temperature
299,dietary cp adequacy; dietary nel adequacy; milk yield increase
300,insulin analysis; metabolites analysis; plasma collection
301,ioz; plasma triglyceride concentration; zmc
302,dietary zn source; evaporative cooling deprivation; lactating dairy cows' metabolism
303,beef cattle (cat) system; reference point; sheep (sh) system
304,animal resilience; better female development; system resilience
305,dairy protein; fecal mucin excretion; mucin production
306,agr type; capsular type; type of mastitis
307,direct genomic values; economically important dairy traits; genetic effects
308,loci masking; mean correlations between dgv and pta; sire genotypes masking in training set
309,accuracy of dgv; imputed genotypes; number of snp
310,curd washing; residual curd lactose content; whey dilution
311,number of animal equations; original variances; reduced-rank covariance functions
312,model building process; model validation procedure; reliable breeding values
313,genetic improvement; heifer growth rate; norwegian red
314,danish studies; national recommendations; replacement heifer rearing
315,consumer health; nutritional value of milk; raw milk adulteration
316,gfc analysis; gfc fingerprint analysis; superdex 75 10/300gl column
317,chromatogram; gfc fingerprint; raw milk samples
318,heritability of life_eff; hs environment; limiting environments
319,gpta for nm$; horned cows in ho; horned cows in je
320,close-up diets; colostrum production; photoperiod
321,body measurements; gyr donors; ovum pick-up events
322,cortisol levels; progesterone levels; soaked horn samples
323,calves' claw horns; hair samples; retrospective hormonal information
324,energy supplies; nitrogen efficiency; protein supplies
325,clinical mastitis episodes; holstein lactations; louisiana state university dairy research herd
326,animal's diet; local forage; purchased concentrate
327,immune function; peripartum; vitamins a and e
328,calcium concentration; risk of retained placenta; serum nonesterified fatty acid concentration
329,gelation profiles; nonropy lactic cultures; ropy lactic cultures
330,aggregation behavior; capsule-forming ropy cultures; nonropy cultures
331,criterion selection; functional ability; production ability
332,itpi association; observational studies; randomized trials
333,abdominal fat; tibia ash; zn concentration
334,diafiltered dispersions; heat stability; uf samples
335,estradiol-17beta concentrations; hormonal signals from the calf to the placenta; placenta abnormality
336,dietary strategies; enteric ch4 emission; feed efficiency (fe)
337,flaxseed; ruminal biohydrogenation; α-linolenic acid (ala)
338,heat processing; urea formaldehyde condensation polymer (ufcp) treatment; α-linolenic acid (ala) protection
339,herds selected for welfare inspections; register data; risk-based strategy
340,animal welfare legislation; euthanasia; injured animals
341,ca salts in diets; proportion of liquid fat at 20 degrees c; proportion of liquid fat at 5 degrees c
342,fouling effects; intrinsic permeation resistances; permeation effects
343,deposit formation; protein permeation; transmembrane pressure to membrane resistance ratio
344,fouling effect; irreversible fouling; reversible fouling
345,ad libitum basis; angus × hereford steers; finishing diet
346,diet offered; diet refused; dm intakes (dmi)
347,14-day intervals; body weights; solid feed
348,emissions measurement; extensive grazing environments; methodologies
349,bioavailability of p; defluorinated phosphate; dicalcium phosphate
350,bovine lactoferricin synthesis; bovine tracheal antibacterial peptides synthesis; mammary cells
351,expression of antibacterial peptides; goat beta-casein gene promoter; prevention of mastitis
352,confocal laser scanning microscopy; majorero control cheese; matrix structure
353,feed resource production; mountain regions; sustainable milk production
354,freestall barn; temperature data; temperature sensors
355,barn sides; cold-season one-side-occupied (csoo); stocking densities
356,barn comparisons; mean day temperatures (mdt); mean night temperatures (mnt)
357,absence of animals; stocking density; temperature difference
358,east-end mean temperatures; seasons; west-end mean temperatures
359,barn-temperature research; barns of similar characteristics; number of sensors
360,diarrheal disease; intestinal cryptosporidiosis; lifetime production
361,bacillus sp.; membrane biofilm
362,swab technique; viable counts
363,6-step cleaning cycle; bacillus survivors
364,biofilm type; resistance pattern
365,effect of mastitis on milk production; stage of lactation
366,lactation level; production variation
367,metabolites in serum; nonfermented milk
368,calcium sensitivities; individual caseins
369,correlations among traits; genetic by environmental interactions
370,nonadditive inheritance; nonnormal distributions
371,computation time; markers
372,multitrait traditional evaluations; single-trait genomic evaluations
373,available models; selection programs
374,3-month feeding period; quality mutton production
375,economic benefit; equipment installation
376,dietary data; multiple linear regression
377,c16:0 absorption from intestines; c16:0 production
378,c16:1 absorption from intestines; c16:1 production
379,fatty acids absorption from intestines; preformed fatty acids production
380,c16:0 absorption; milk c16:0
381,c18:0 absorption; milk c18:0
382,cis-9 c18:1 absorption; milk cis-9 c18:1
383,milk trans-c18:1; trans-c18:1 absorption
384,"cis-9, cis-12 c18:2 absorption; milk cis-9, cis-12 c18:2"
385,"cis-9, cis-12, cis-15 c18:3 absorption; milk cis-9, cis-12, cis-15 c18:3"
386,resynchronization treatments; timed artificial insemination (tai)
387,luteal regression after pgf2α; ovulation to g1
388,floury endosperm; vitreous endosperm
389,elimination of dead cells; propidium monoazide (pma)
390,dead cells; genomic dna
391,food matrix; inhibitors
392,dose of bst (334 mg); milk production increase (205 ml/d)
393,spectrophotometer; transmittance spectra
394,calibrations for fat and protein; spectral data treatments
395,carbohydrate determinations; jugular blood samples
396,blood lipoproteins; ultracentrifugation
397,heparin affinity chromatography; lipoprotein fractions
398,dairy breeding programs; revenues and costs
399,holstein-friesian dam and holstein-friesian sire; jersey dam and jersey sire
400,carcass price per kilogram; sire-dam breed combinations
401,gestation period; holstein-friesian sire and jersey dam cross
402,consumers' preferences; ripening descriptors
403,l-[(35)s] methionine; mammary gland explants
404,flavor compound concentration; ripening stage
405,high dimensionality of the risk factor data; nonlinear principal component analysis (nlpca)
406,farmers' attention to animal health; ircm (internal teat seal formation rate after milking)
407,higher hesccav and nhiscc; poor cow hygiene and ams hygiene
408,higher hesccvar and nhiscc; poor cow hygiene and low milk production
409,ams farms; conventional milking system farms
410,high dimensional data; nlpca
411,ams farm size; udder health attention
412,puerperium; retinoic acid isomers
413,9-cis isomer of retinoic acid; quantification limit
414,long polar fimbriae (lpf); virulence factor
415,factor importance; multivariate statistical analysis
416,pendf(>8); pendf(>8-ndf)
417,extraction of protein from grassland plants; value of the fiber part of grassland plants
418,drying off in dairy cows; long-acting antibiotic preparation
419,infection risk; prophylactic therapy
420,cow parity; risk of new intramammary infection
421,linear equations; nonlinear equations
422,equation parameters; iterative processes
423,logistic equation; published tabular rup contents
424,nonprotein n contents of individual feeds; tabular rup
425,lactobacillus delbrueckii ssp. bulgaricus; yogurt production
426,acid production capacity; genetic background
427,l. delbrueckii ssp. bulgaricus genome sequences; ncbi database
428,bacterial acid production rate; l-lactate dehydrogenase (lldd; ldb2036)
429,potential targets; structure of l. delbrueckii ssp. bulgaricus
430,ca levels; ewe empty body weight (ebw)
431,low ca levels; ml ewes
432,energy efficiency in sheep production systems; mineral supply and metabolic status
433,rare and causal variants; whole-genome sequencing (wgs) experiments
434,sequencing data; variant phasing
435,genotype data; us national dairy database
436,homozygous haplotype segments; sequencing cost
437,antimicrobial treatment; blanket dry cow therapy (bdct)
438,cell counter; quarter-level milk samples (qlms)
439,internal teat sealant; treatment group
440,bst usage; lactations
441,analytical needs; metabolomic analyses
442,collection steps; preparation steps
443,field studies; specimen sampling
444,biochemical classes; metabolomic platform
445,metabolite profiles; porcine biofluids
446,autolysed yeast (ay) supplementation; weaning pigs
447,bovine serum albumin; fatty acid-free solutions
448,quantitative real-time pcr analysis; rna extraction
449,ad libitum (al) feeding; positive energy balance
450,atm (m1 and m2) surface marker; cd172a+ cells
451,fr; svf cells
452,atm; m1 phenotype
453,cell proliferation markers; ecmt-related markers
454,danish commercial herds; systematic crossbreeding
455,breed effects for dj; mixed-breed herds
456,days from first calving until the end of first lactation or culling; l1
457,days from first calving until the end of second lactation or culling; l2
458,days from first calving until the end of third lactation or culling; l3
459,days from first calving until the end of fourth lactation or culling; l4
460,days from first calving until the end of fifth lactation or culling; l5
461,long-chain unsaturated fatty acids (lcufa); nutritional value of ruminant milk
462,endogenous synthesis of long-chain unsaturated fatty acids; fatty acid elongase 5 (elovl5)
463,elovl5 protein; ruminant mammary tissue
464,elovl5 products; lipid metabolism genes
465,elovl5 activation; negative feedback regulation
466,elovl5 activity; substrate availability
467,high hydrostatic pressure; salmonella enterica
468,cell counts of treated samples; storage at 12 degrees c
469,histologic evaluation; mammary tissue
470,feed prices; milk price volatility
471,calvings; research herds
472,breeding dates; gestation lengths
473,carryover effects; dietary fndf and sffa interaction
474,ceph residence time in mammary gland; milk production volume
475,20% crude protein (cp) mr; 441 g of dry matter (dm)/d
476,hpmf and hphf+ diets; phosphorylation ratios of ribosomal protein s6
477,changes in plasma and tissue concentrations and plasma to tissue ratios of amino acids; growth rates
478,accelerated growth; cell signaling activity
479,fasting; tissue harvesting
480,in vivo trial; rumen-fistulated holstein cows
481,in situ trials; incubation of untreated rolled barley grain
482,clinical scoring system; field data
483,dairy; random intercept
484,brd; group-housed dairy calves
485,(15)n-ammonium chloride; intragastric infusion
486,(13)c-urea; intravenous infusion
487,ammonia enrichment; digesta
488,dietary fibre; small intestine nitrogen flux
489,inflammation-like condition; periparturient phase
490,methane emissions; sulfur hexafluoride tracer technique
491,nrc model with rt; nrc model without rt
492,"basal concentrations of dietary na, k, and cl; dietary variations"
493,dietary mineral concentration; urine mineral excretion
494,dietary cation-anion balance; systemic acid-base status
495,dietary impact on systemic acid-base status; na and k to cl balance
496,dim (days in milk); endometrial cytology
497,estrous cyclicity; ovarian scanning
498,limited progeny information; predictors of sire merit
499,random 50 progeny; random 500 progeny
500,500 progeny sire solutions; blup sire solutions
501,cows in later parities; difficult calving progeny
502,beef quality traits; minor ecm molecules
503,legendre polynomial; random regression model
504,additive genetic correlations; weeks of lactation
505,equations for dmi; independent validation data
506,actual intake; predicted intake
507,antibiotic susceptibility; n-acetylcysteine (nac)
508,lep esterase activity; zn2+ and mn2+
509,hydrolyzing process; polyunsaturated fatty acids (pufa)
510,quantitative pcr; target microbes
511,anaerobic fungi; noncellulolytic bacterial species
512,prevotella genus; ruminal fluid
513,cow-level outcomes; dairy herd improvement association (dhia) test-day
514,dairy herd improvement association (dhia) test-day milk component; milk production measures
515,aerococcus spp.; coagulase-negative staphylococcus
516,mixed logistic regression analysis; risk for presence of imi
517,conditional analyses; fine mapping
518,fine-mapping approach; significant snp detection
519,dna methylation; pork quality
520,factors; success of students
521,research objective; success of undergraduate students
522,data collection; students in als 2304 course
523,gender distribution; student demographics
524,student performance; time to complete exams
525,exam completion time; exam scores
526,90-min completion time; highest exam scores
527,challenged quarters; control quarters
528,emulsifying properties; physical characteristics of reformulated creams
529,lower-melting range butter oil; viscosity of creams
530,dairy goats; ruminal cannulation
531,crossover designed experiment; saanen dairy goats
532,microbial status of the bulk tank; triplicate samples
533,nitrate; noninhibitable uptake
534,bicarbonate-dependent uptake; total uptake
535,gt; high na+ concentration
536,incorporation method; variables
537,introgressed alleles; population
538,migrant contributions (mc); optimum contribution selection (ocs) approach
539,expected genetic gain in reality; superior simulation scenarios
540,brine; calcium chloride
541,calcium in brine; cheese composition
542,boltzmann method; effective diffusion coefficient
543,lactation diet; postcalving diet
544,machine learning methods; predictive models
545,prediction models; β-hydroxybutyric acid concentration
546,milk metabolite data; routine milk recording data
547,genetic lines; milk fat plus protein yield
548,milk k; serum k
549,milk ca; serum ca
550,milk na; serum na
551,milk mo; serum mo
552,estimated breeding value (ebv); national genetic evaluations
553,brown swiss organizations; interbull centre
554,n-valeric acid; vfa passage rates
555,in situ study; lactating jersey cows
556,cp and aa degradation; in situ incubation
557,linear regression equations; stepwise selection
558,"cp, aa, and insp6 degradation; diet formulation for dairy cows"
559,scientific literature; scoping review
560,primary research articles; transportation of calves
561,articles; reviewers
562,full text; potentially relevant articles
563,liver biopsy; triacylglycerol concentrations
564,control diet with cornstarch (sd); rumen-protected fat (rpf) diet (fd)
565,jugular vein; tracer infusions
566,para-aminohippurate; portal plasma flow
567,geographic location; incidence rate of clinical mastitis (ircm)
568,cases of clinical mastitis; participating producers
569,spp. and e. coli ircm; tie-stall barns
570,cef + fm group; fm
571,rectal palpation; vaginoscopy
572,interfering factors; multivariable regression
573,backward elimination procedure; stepwise regression
574,fat feeding; restricted data set
575,high corn silage-based diets; ruminal microbial equilibrium
576,brix value thresholds; test accuracy
577,bleached liquid whey; unbleached liquid whey
578,liquid wpc; unbleached wpc80
579,purified beta-galactosidase; sodium dodecyl sulfate-page gel
580,serum analysis; whole-blood analysis
581,receiver operating characteristics analyses; thresholds for subclinical ketosis
582,cows outside of their resting areas; heat stress abatement strategies
583,series a; series b
584,dose titration experiments; geographic locations
585,dairy housing designs; spreadsheet application
586,dairy housing designs in galicia; database
587,preferred designs; projected financial results
588,four rows of facing free stalls; four rows of tail-to-tail free stalls
589,design calculations; farm management considerations
590,milk fat synthesis; supplemental dietary zn sources
591,anthelmintics; faecal egg excretion
592,better bcs and bw; female development
593,dextran sulfate sodium (dss); inflammation of the large intestine
594,linear dodecyl benzene sulfonic acid teat dip; s. aureus growth
595,fatty acid analysis; gas-liquid chromatography
596,n-3 fatty acid content; principal component 2
597,cluster analysis; milk types
598,ca concentration; ch+ cows
599,farmer knowledge; likelihood of persistent residues from various types of chemicals
600,disposal of surplus farm chemicals; farm chemicals
601,barley-based diet; wheat straw-based diets
602,nocardial mastitis; outbreaks
603,chronic inflammatory changes; intramammary inoculation
604,heart girth; wither height
605,calves and their dams; diagonal length
606,"metabolic health of calves; mgest, dp, and ll in cows"
607,recursive relationships; structural coefficients
608,genetic evaluations; structural equation models
609,categorical data; recursive systems
610,control of mastitis; s. aureus genetic profiles
611,alkaline phosphatase (alp) load capacity; streptavidin scaffolded dna tetrad (ss-dnat)
612,alkaline phosphatase (alp); ascorbic acid 2-phosphate
613,ascorbic acid; fluorescence poly adenine-thymine-templated copper nanoclusters
614,adaptation period; washout period
615,period 1; period 2
616,antioxidant responses; cul3
617,e × d; protein kinase b (akt) abundance
618,eif2a; translation initiation
619,insulin-induced glucose uptake; slc2a4
620,cidr removal; pgf2α
621,pregnancy diagnosis; transrectal ultrasonography
622,experiment 1; orthogonal contrasts
623,advancing ai by 24 h; pregnancy likelihood
624,asynchrony between insemination and ovulation; cse
625,dietary fat from ddgs; later performance
626,mozzarella cheese texture; rate of acidification
627,protein concentration; ultrafiltration
628,"low-moisture, part-skim mozzarella; ripening temperature"
629,ph values at draining and salting; total calcium content
630,llc milk; ph values during ripening
631,cheese type; moisture content
632,breeding; high-temperature resistance
633,japanese flounder breeding programmes; molecular markers
634,breed differences; variance component analyses
635,measurement error correlations; variance component estimation
636,extreme observations; model robustness
637,breed effects modeling; genetic level estimation
638,additive genetic effects; genetically heterogeneous nordic red cattle
639,breed proportion interaction; calving age effect
640,phantom parent groups; random effects
641,growth profiles; norwegian red replacement heifers
642,high-producing dairy farms; low-producing dairy farms
643,growth registrations; norwegian dairy herd recording system
644,growth measurements; onsite registrations
645,herd visits; registrations
646,gel filtration chromatography (gfc) fingerprint method; quality control of raw milk protein
647,chemometrics; gfc fingerprint method
648,0.2 m nah2po4-na2hpo4; gfc conditions
649,0.2 m nah2po4-na2hpo4 buffer; mobile phase
650,0.5 ml/min; flow rate
651,280 nm; detection wavelength
652,characteristic peaks; chromatographic fingerprint
653,fingerprint method; milk protein adulteration
654,feeding regimes; large-scale datasets
655,genomic pta (gpta); lifetime net merit (nm$) selection index
656,horned genetics; polled genetics
657,horned cattle; polled cattle
658,lactobacillus bulgaricus nd02; milk fermentation
659,farm participation; monitoring only (mo)
660,implementation of change; social marketing principles
661,blupf90 family programs; single- and 2-trait analyses
662,holstein breed; milking cows
663,claw samples; sole
664,progesterone and cortisol concentrations; ria
665,horn sample weight after freeze-drying; horn sample weight after hydration
666,mature dairy cows' claws; retrospective measure of cumulative hormone secretion
667,"high-energy, high-protein (he/hp) diet; high-energy, low-protein (he/lp) diet"
668,"low-energy, high-protein (le/hp) diet; low-energy, low-protein (le/lp) diet"
669,energy concentrations; net energy for lactation (ne(l))
670,left quarters; right quarters
671,diagonal pairs; frequency of occurrence
672,lugo province; organic dairy farm
673,japanese wireweed (sargasum muticum); sea lettuce (ulva rigida)
674,heparinised blood; plasma analysis
675,brown-algae species; i (iodine) supply
676,i (iodine) concentration; plasma concentrations
677,kavfa measurement; rumen papillae
678,papillae; rumen sacs
679,papillae width; surface area
680,ap concentrate treatment; kavfa pp
681,functional measurements; morphological measurements
682,capsule forming ropy cultures; caseins
683,loss tangent (tan delta); r culture
684,compact structure formation; structure rearrangement
685,absence of calf diarrhea; control farms
686,face-to-face interview; management evaluation
687,health status survey; hygiene survey
688,genetically enhanced corn hybrid; nongenetically enhanced reference hybrids
689,growth ability; trait selection
690,assumptions used in analytical models; interpretability of estimated evs
691,calves delivered and raised on the same farms; calves transported and commingled from different farms
692,itpi effects; random effect meta-analysis models
693,nonsignificant associations; publication bias correction
694,pooled estimates; random models
695,outcomes; transfer of passive immunity
696,raising system definition; standardization
697,dairy calf production; standardized definitions
698,literature; variability in definitions
699,dietary zn; growth in white pekin ducks
700,polymerized whey protein solution (pwps); protein network
701,sensory attributes; yogurt samples
702,membrane filtration; structural organization of protein particles
703,milk protein concentrate (mpc) manufacture; pasteurized skim milk
704,glucono-δ-lactone (gdl) addition; milk ph
705,protein content in mpc; ultrafiltration (uf) and diafiltration
706,mpc powders; spray drying
707,reconstitution of mpc samples; solubility and thermal stability
708,mpc properties; processing
709,live calves; stillborn calves
710,global warming potential (gwp); lactating cow total mixed rations (tmr)
711,co2 equivalents (co2eq); diet gwp
712,land use change; soybean solvent meal
713,preterm (pt) calves; term (t) calves
714,decreased egp; impaired glucose homeostasis
715,flaxseed incubation; ruminally cannulated multiparous lactating holstein cows
716,2001 national research council dairy model; de concentrations in diets
717,calf development; early-life nutrition
718,electronic feeding system; feed-related events
719,growth monitoring; weekly weighing
720,treated cows; untreated cows
721,predictors of dairy herds with violations of the animal welfare legislation; register data variables
722,genomic testing; newborn heifers
723,purebred females; terminal crossbreeding
724,calcium salts of unsaturated fatty acids; thermal properties of milk fat
725,potentially degradable fraction; readily soluble fraction
726,lamp method; streptococcus uberis detection
727,convective flow; membrane
728,l-selectin expression; neutrophils stored on ice
729,l-selectin expression at 1.5 h; l-selectin expression at 24 h
730,innate immune cell function; neutrophil function
731,cattle properties; methane emissions measurement
732,ch4 concentration; wind statistics
733,data filtering; erroneous data
734,depletion diet; experimental period
735,bovine mastitis prevention; plasmid-mediated gene transfer technique
736,antibacterial protein expression; duration
737,consumer trend; low-fat products
738,consumer preference; delicious food
739,ease of extracting fat; matrix and whey pockets
740,microbial counts; supercritical co(2) treatment
741,mammary involution; termination of milking
742,stat5 and stat5-p protein levels; western analysis
743,immunohistochemistry; stat5-p localization
744,decision making; information
745,production systems; small-scale dairy farming
746,ch4 emission assessment; dairy production systems
747,late-lactation holstein cows; perennial ryegrass
748,bacteroidetes; firmicutes
749,pmr feeding; veillonellaceae
750,lactobacillaceae; streptococcaeae
751,ammonia; ruminal environment
752,inside mdt; outside mdt
753,north-side mdt; south-side mdt
754,north-side mnt; south-side mnt
755,lameness scoring; trained researchers
756,herd-level prevalence of lameness; producers' estimates
757,lameness management; record keeping
758,identification of farm-specific risk factors; lameness prevention
759,csn1s1; αs1-casein
760,csn1s2; αs2-casein
761,csn3; κ-casein
762,equine casein alleles; nomenclature
763,alleles; confirmation
764,aids patients; severe cryptosporidiosis
765,complications from other pathogens; serious disease and deaths
